,Workbookname,Date,Time,Type,Total Consumption (kWh),Distance,Mean Consumption,Total Time (ms),Average Speed,StdDev Speed,Average Acceleration,StdDev Acceleration,Average Jerk,StdDev Jerk,Initial SOC,Temperature
2,2018-11-14T12-52-06.csv,2018-11-14,07:52:06,In Traffic,8.178843177083333,26.867745146124324,0.0030359477272024252,2693000.0,57.780994803266516,26.117367608614966,-0.0002062961587655243,0.9858213983932316,-0.0008254911672445116,0.7967271350996726,97.5,1.4498886414253898
5,2018-11-19T13-01-20_run2.csv,2018-11-19,08:01:20,In Traffic,7.6066253645833335,28.584110461570926,0.0025279579144510925,3008000.0,55.03688933200399,31.4256706271017,-0.002123965721040186,1.0157355912487636,0.0004618852307578611,0.8253945255497628,49.5,6.322366234629445
8,2018-11-19T13-01-20_run1.csv,2018-11-19,08:01:20,In Traffic,7.387900069444444,28.340222268617914,0.002490863138720311,2965000.0,55.3583951449764,27.05170881356398,0.001405283867341202,0.8938765258604444,-0.0003748687959214275,0.7277201199983254,71.0,5.083951449763992
12,2018-12-04T12-46-28_run1.csv,2018-12-04,07:46:28,In Traffic,8.008139166666666,26.776783307705408,0.003275312542603952,2444000.0,63.44989775051125,26.12799848080821,0.004205310056373886,0.9208635710823444,-0.0003411106562969026,0.794532200514987,97.0,0.631083844580777
13,2018-12-04T12-46-28_run2.csv,2018-12-04,07:46:28,In Traffic,7.665251215277777,29.336832619723197,0.0024895262147703033,3078000.0,55.202013640792465,26.107728706613635,0.00018049238322142663,0.9358273484873516,0.0,0.8719039458983938,71.0,2.078921727833712
14,2018-11-15T12-47-44.csv,2018-11-15,07:47:44,In Traffic,8.70509498263889,27.556431550854015,0.0029822182194720478,2918000.0,54.69407331277835,26.16710814790127,0.004474145152692103,0.854448196293009,0.0,0.7034359223856644,0.0,-3.627954779033916
15,2018-11-08T13-19-45.csv,2018-11-08,08:19:45,In Traffic,7.006974149305556,26.931608296437723,0.002630245551541118,2663000.0,58.570570570570574,25.275580118594316,-0.00020862018608920412,1.0322131832484616,0.0,1.037562201868412,86.0,7.6591591591591595
16,2018-11-15T13-37-51.csv,2018-11-15,08:37:51,In Traffic,8.006542065972223,28.213876792863022,0.0025563671985862845,3131000.0,52.190613026819925,28.093249410054273,-0.0009759040420171046,0.9548818911050975,-0.0006212282570110054,0.9067967952323526,69.0,-3.054916985951469
17,2018-11-28T12-26-14.csv,2018-11-28,07:26:14,In Traffic,6.985940989583334,27.0940278219641,0.0025431164869251298,2746000.0,57.143429195485986,22.872373735524633,0.00010115723881200939,0.753028763296554,-0.0005059704513256424,0.611065806100798,81.0,1.9879868947943211
20,2018-11-28T13-17-30.csv,2018-11-28,08:17:30,In Traffic,6.844636284722222,26.905372623876605,0.0025210446720892155,2714000.0,57.41436464088398,28.24629047308138,-1.309032306116618e-18,0.826737352980081,-0.0003071630421427692,0.6240774146533343,58.0,2.539594843462247
21,2018-11-07T13-22-03.csv,2018-11-07,08:22:03,In Traffic,7.265156961805555,28.019870898397816,0.0026818593435974534,2708000.0,59.92506459948321,31.630469927137565,0.00020515345478417857,1.1224435244272797,0.0,1.1459791373261927,44.5,12.46843853820598
23,2018-11-26T12-34-09.csv,2018-11-26,07:34:09,In Traffic,7.065515364583334,27.239359639704038,0.0024296820373395185,2907000.0,54.26925722145805,26.69894957404923,-1.2221237285175441e-18,0.8106900494220298,-0.00028676301904106494,0.6452090565109508,47.0,4.472489683631362
24,2018-11-29T12-35-21.csv,2018-11-29,07:35:21,In Traffic,9.428443142361111,29.395517676767618,0.0031014615599872074,3039000.0,56.02203947368421,27.730615030838553,-0.00027421300866513186,1.0378697537765091,0.0,0.9257551763925704,64.0,2.714144736842105
26,2018-11-14T13-37-37.csv,2018-11-14,08:37:37,In Traffic,8.293731840277779,28.260997441607557,0.002888795485990176,2870000.0,57.03030303030303,29.224758987071066,-9.678668215253608e-05,1.0617876758630695,-9.682041748964049e-05,0.8635994745664562,74.5,1.9853709508881923
27,2018-11-21T13-08-24.csv,2018-11-21,08:08:24,In Traffic,8.027850711805556,27.668796174783918,0.0030758048704235858,2609000.0,61.418773946360155,24.935956912369384,-0.0004258762403645509,0.9809773807581801,-0.00021301976823449208,0.8406003460651676,41.5,1.1731800766283524
